"UID","TN","TP","SITE_ID","DATE_COL","AGGR_ECO9_2015","LON_DD83","LAT_DD83","MMI","CHLA","ELEVMAX","ELEVMEAN","ELEVMIN","POPDEN","ROADDEN","AG_PCT","URBAN_PCT","FOREST_PCT","WETLAND_PCT","SHRUB_GRASS_PCT","WS_AREA","NDEP","DEPTH","aqveg","Rveg","Type","PrecipNorm","TMAX","TMIN","Tsummer","PrecipSummer","PrecipWinter"
10875,242,31.205,"FW08NV006","24-Jun-08","XER",-116.0342696,41.41766741,50.47,3.872,2934.34,2329.94,1902.74,1.556,0.007,0,0,2.782,0,97.219,22.836,1.260803064,0.2475,6.3636364,38.8636363666667,"Stream",429.660003662109,13.0100002288818,-1.26999998092651,14.2790001869202,11.7200002908707,52.5266672770182
10876,119,28.8438,"FW08NV008","15-Jul-08","XER",-115.2289633,41.71522014,64.03,NA,3048.54,2482.94,1980.56,0,0.439,0,0.029,36.67,0.178,63.123,37.408,1.419804863,0.3274666667,14.0909091,47.8409091,"Stream",463.200012207031,12.9300003051758,-1.61000001430511,13.9040000915527,15.521999835968,48.2133344014486
10885,658,23.4713,"FW08NV009","10-Jun-08","XER",-114.2774604,38.32750793,34.42,1.376,2647.51,2458.45,2219.63,0,0,0,0,61.622,0,38.378,1.743,1.3561077,0.05113333333,19.0909091,27.0833333333333,"Stream",433.730010986328,14.5600004196167,1.5900000333786,16.4470001220703,25.0840006828308,62.4133338928223
10886,105,31.54,"FW08NV010","25-Jun-08","XER",-115.7046045,41.80682461,38.28,0.272,2539.31,2114.59,1862.9,0,1.012,0,0,5.692,0,94.308,16.7,1.336526543,0.2534677419,23.3333333,70.9027777666667,"Stream",397.869995117188,13.5500001907349,-1.12000000476837,14.1329999923706,18.6199996948242,47.6033325195312
10887,482,134.94,"FW08NV011","25-Jun-08","XER",-116.3987168,41.21398709,35.77,NA,2235.51,1976.28,1754.81,0,0,0,0,0.006,0.211,99.783,14.47,1.149668733,0.2625,48.6363636,26.6287878666667,"Stream",310.880004882812,14.8400001525879,-0.519999980926514,15.8329999923706,9.77399981021881,33.6399993896484
10888,1296,30.745,"FW08NV012","3-Jun-08","XER",-119.4433402,41.92147277,15.42,1.136,2089.25,1890.38,1771.49,0,0.285,0,0,0,0.147,99.853,9.8,0.509654641,0.1235,18.1818182,23.9393939333333,"Stream",259.820007324219,13.4399995803833,-0.959999978542328,13.4199998855591,13.3719999313354,18.7766666412354
10889,293,29.761,"FW08NV014","26-Jun-08","XER",-115.5543686,40.74129868,49.67,3.84,3459.37,2424.76,1684.21,21.303,0.621,4.859,5.1,22.185,3.645,57.466,20.891,1.377360725,0.1353061224,37.7272727,34.1287878666667,"Stream",327.190002441406,15.7700004577637,-1.77999997138977,15.3200002670288,16.3779995918274,39.0466664632161
10890,346,284.1338,"FW08NV015","27-Jun-08","XER",-116.0832885,41.01579472,23.42,NA,2294.83,2066.83,1912.97,0,0,0,0,17.588,0,82.412,3.568,1.249996662,0.0483,51.1363636,17.2727272666667,"Stream",339.769989013672,13.8500003814697,-0.189999997615814,15.8369997024536,12.7459998324513,46.113333384196
10893,256,23.51,"FW08NV019","22-Jul-08","XER",-116.5235212,40.70240853,63.02,1.088,3459.37,1875.51,1404.57,2.377,0.426,2.18,0.978,5.51,1.7,89.355,15741.06,1.33252817,0.7369,3.6363636,22.7272727333333,"Stream",233,18.3400001525879,0.259999990463257,18.7930004119873,11.489999961853,26.9799995422363
10896,690,174.9388,"FW08NV022","4-Jun-08","XER",-117.8060453,41.77179727,32.13,0.656,2661.25,1675.83,1293.14,0.23,0.532,0.485,0.484,0.465,1.512,96.762,2500.638,0.702005509,0.7128,33.1818182,20.3030303,"Stream",227.970001220703,18,0.610000014305115,17.2850002288818,8.05999991893768,20.8666667938232
10897,913,308.615,"FW08NV026","5-Jun-08","XER",-117.4646693,41.3973601,41.83,11.12,2661.11,1697.73,1337.28,0.006,0.338,0.726,0.061,0.465,0.411,98.145,2648.445,0.91171935,0.412,6.8181818,32.0075757666667,"Stream",244.289993286133,18.2900009155273,0.589999973773956,17.6590002059937,7.55599999427795,28.2933336893717
10898,251,103.0988,"FW08NV028","17-Jun-08","XER",-118.9109046,41.40884387,69.45,1.824,2663.36,2049.85,1537.38,0,0,0,0,0.027,0.023,99.903,50.323,0.592388968,0.2570588235,51.1363636,45.7954545333333,"Stream",244.770004272461,16.1399993896484,1.83000004291534,17.7329996109009,12.3500000953674,31.1566670735677
10899,185,36.4075,"FW08NV029","11-Jun-08","XER",-114.5413454,39.21428861,70.83,0.56,3582.03,2703.59,1900.05,0,0.292,0,0,61.844,0.099,29.37,82.773,1.36178543,0.2785416667,33.8636364,49.7727272666667,"Stream",267.420013427734,16.4300003051758,-0.25,16.8169996261597,9.50200004577637,28.5633328755697
10900,1120,88.44,"FW08NV031","18-Jun-08","XER",-115.8061406,40.81470323,12.95,0.816,3459.37,1910.54,1534.29,3.09,0.462,2.946,1.165,3.883,1.853,90.034,7496.426,1.416518113,0.6043434343,71.1363636,42.8787878666667,"Stream",246.610000610352,16.9400005340576,-1.21000003814697,17.0469997406006,10.1340002059937,32.8799997965495
10901,280,14.5688,"FW08NV032","10-Jun-08","XER",-114.5318165,36.6417447,56.43,1.536,3483.9,1513.57,443.662,0.369,0.239,0.689,0.511,19.945,0.274,77.997,15404.289,1.210991348,0.6938,3.6363636,60.9090909,"Stream",137.039993286133,28.3500003814697,11.1800003051758,29.2700008392334,6.36000003814697,20.986666838328
10918,168,34.2513,"FW08NV033","11-Jun-08","XER",-115.6673318,38.85858259,20.7,0.736,2687.01,1902.9,1586.51,0.051,0.248,0.927,0.35,11.23,0.036,87.397,470.308,1.302476031,0.4621,17.7272727,13.7121212,"Stream",188.839996337891,18.6000003814697,0.579999983310699,18.3629999160767,6.21600017547607,20.3233331044515
10922,434,133.4188,"FW08NV034","24-Jul-08","XER",-117.9097195,40.91002543,40.72,NA,3459.37,1762.72,1285.99,1.828,0.409,2.507,0.899,3.926,2.06,90.025,30340.387,1.149780952,0.6472916667,0.9090909,21.0606060666667,"Stream",211.559997558594,18.7999992370605,1.05999994277954,18.425,9.43200016021729,18.4966659545898
10926,1232,54.8063,"FW08NV035","17-Jun-08","XER",-116.7624855,40.68600234,7.07,1.408,2637.75,1713.68,1382.84,0.021,0.249,1.109,0.179,1.099,2.287,93.996,2945.321,1.060541117,0.7845,76.5909091,32.4242424333333,"Stream",228.179992675781,19.0499992370605,0.870000004768372,19.446000289917,8.74600002765655,28.4466660817464
10927,196,35.8325,"FW08NV037","26-Jun-08","XER",-115.6285161,41.87729618,61.18,4.672,3020.04,2065.1,1598.68,0.005,0.256,0.029,0.473,4.343,0.832,94.307,776.194,1.372980886,0.6772,21.3636364,40.2651515,"Stream",323.299987792969,15.4399995803833,-1.33000004291534,15.2579999923706,14.9440001130104,29.636666615804
10928,786,156.95,"FW08NV038","3-Jun-08","XER",-117.7707249,41.9957489,9.8,2.128,2586.55,1793.5,1347.82,0.009,0.474,0.039,0,0.501,0.811,98.534,579.008,0.621146488,0.1386170213,40.4545455,27.0454545333333,"Stream",211.470001220703,17.4699993133545,-0.0399999991059303,16.6430000305176,6.94199993610382,15.5899998346965
10951,617,123.6519,"FW08NV049","31-Jul-08","XER",-116.6048621,38.8505517,30,0.864,3250.31,2913.73,2614.72,0,0,0,0,85.833,0,14.167,1.404,1.073003292,0.05296703297,32.9545455,54.1666666666667,"Stream",548,11.8599996566772,-1.48000001907349,12.685000038147,15.1240005970001,96.5300013224284
10954,519,197.6075,"FW08NV040","30-Jun-08","XER",-119.7573042,39.08215943,50.53,4.56,3473.9,2095.9,1414.6,14.309,0.738,4.475,3.065,26.009,2.201,62.24,1851.924,0.583946885,0.509,4,43.2575757666667,"Stream",224.320007324219,19.0200004577637,1.5,18.23600025177,2.53999991416931,36.806666692098
10956,584,100.4963,"FW08NV050","22-Jul-08","XER",-118.3154415,40.41024065,38.83,NA,3459.37,1744.44,1240.33,1.725,0.416,2.361,0.882,3.812,1.994,90.183,32403.46,1.11997742,1.028510638,8.3333333,50.1388889,"Stream",213.889999389648,19.7399997711182,1.27999997138977,18.9850006103516,7.76000003814697,19.3666664759318
10958,1056,469.99,"FW08CA044","5-Sep-08","WMT",-120.6045859,41.48963055,12,19.44,3003.43,1680.6,1324.08,1.663,1.161,6.372,0.974,27.201,1.272,60.835,2821.604,0.5116128,0.804,5,9.0909091,"Stream",311.040008544922,16.9899997711182,-0.439999997615814,16.4039999008179,12.2100001573563,23.4466660817464
10962,243,27.7113,"FW08NV051","23-Jul-08","XER",-116.7790317,40.64965565,52.43,0.928,3459.37,1873.35,1381.83,2.365,0.43,2.175,0.986,5.476,1.781,89.306,15841.229,1.330912968,0.542625,0,18.2870370333333,"Stream",232.690002441406,19.1599998474121,1,19.5399993896484,8.76399983167648,26.5033334096273
10963,233,47.7663,"FW08NV053","24-Jun-08","XER",-115.863833,41.95776506,65.75,1.616,2490.59,2200.02,2038.76,0,1.044,0,0,14.958,0,85.042,7.226,1.304398537,0.2016,42.7272727,45.7575757666667,"Stream",562.830017089844,12.4399995803833,-0.949999988079071,13.9439997673035,18.3119998455048,65.8666674296061
10964,639,153.9725,"FW08NV054","8-Jul-08","XER",-118.4605996,41.27385024,36.37,3.808,2757.46,2266.15,1780.25,0,0,0,0,17.913,1.302,80.786,7.537,0.635937363,0.0588,5,26.4393939333333,"Stream",403.570007324219,14.1199998855591,2.8199999332428,16.8390005111694,12.5020001173019,53.0833333333333
10965,494,154.7088,"FW08NV056","1-Jul-08","XER",-119.6299202,39.20075374,35.68,2.368,3473.9,2032.78,1342.93,38.733,1.026,3.983,5.11,23.419,1.978,63.733,2144.811,0.572723861,0.9306185567,51.875,43.1944444333333,"Stream",274.519989013672,19.2900009155273,1.98000001907349,18.9749998092651,3.8480001449585,47.6366672515869
10969,154,11.7113,"FW08CA059","7-Sep-08","WMT",-121.2682255,40.00190523,42.13,0.976,2821.99,1639.59,669.943,3.616,1.886,0.66,1.148,73.677,0.859,20.332,4471.258,0.584035426,2.645,4.0909091,12.0454545333333,"Stream",1406.82995605469,20.6900005340576,5.05999994277954,20.4429996490479,4.75800008960068,220.703333536784
10971,396,132.5113,"FW08NV057","16-Jul-08","XER",-115.4997593,41.13161753,36.55,1.312,3172.36,1947.4,1624.54,0.042,0.332,0.08,0.387,0.542,1.543,97.407,2311.749,1.335199678,0.2885,4.0909091,41.9696969666667,"Stream",283.829986572266,16.2299995422363,-1.87000000476837,15.8679998397827,11.9659998416901,38.2633336385091
10973,311,68.1388,"FW08NV058","24-Jul-08","XER",-117.0442313,40.78824389,59.57,0.928,3459.37,1836.7,1357.42,1.946,0.406,2.059,0.868,4.626,2.194,89.774,19564.777,1.281279091,0.8171,0,43.5606060666667,"Stream",218.779998779297,19.1900005340576,1.1599999666214,19.4309997558594,9.29799995422363,24.7866675059001
10978,630,114.7138,"FW08NV041","8-Jul-08","XER",-115.657142,41.32039998,30.33,1.456,3172.36,1969,1710.5,0.067,0.374,0.102,0.573,0.878,2.244,96.138,1419.148,1.30153236,0.4327333333,23.1818182,52.4242424333333,"Stream",291.010009765625,15.0799999237061,-2.15000009536743,14.4900001525879,11.4140000104904,35.7033322652181
10979,213,62.84,"FW08NV039","5-Jun-08","XER",-117.3829874,41.77125165,44.15,12.896,2661.11,2075.54,1816.73,0,0.941,0,0,0.577,0.062,99.307,90.38,0.800203085,0.5989,57.9545455,39.0151515,"Stream",481.619995117188,13.8599996566772,0.389999985694885,15.1430000305176,14.0200001716614,60.0633328755697
10989,323,81.22,"FW08NV062","23-Jul-08","XER",-117.3393351,41.00564814,43.33,NA,3459.37,1801.98,1330.95,1.765,0.392,2.164,0.856,4.809,2.169,89.469,23978.413,1.219934053,0.8102,0.4545455,70.3409091,"Stream",200.759994506836,18.75,1.37999999523163,18.8850002288818,8.28599991798401,20.5400002797445
10990,166,24.3888,"FW08NV063","10-Jul-08","XER",-116.1206756,40.394948,35.47,0.896,3083.69,1889.7,1561.82,0.026,0.277,0.674,0.207,14.295,0.498,84.3,1865.56,1.226697403,0.5613,65.4545455,33.9015151666667,"Stream",267.029998779297,17.2900009155273,-1.97000002861023,16.2260004043579,9.92599997520447,33.5166676839193
10991,107,25.7963,"FW08NV065","17-Jul-08","XER",-117.3401678,38.78147873,67.77,0.672,3384.27,2936.21,2556.58,0,0,0,0,42.624,0.223,57.007,22.221,0.853439172,0.2215,3.6363636,36.7803030333333,"Stream",543.799987792969,12.1800003051758,-3.41000008583069,12.3840003967285,28.0679994106293,80.9333343505859
10992,328,81.5581,"FW08NV066","28-Jul-08","XER",-118.1006986,40.69720892,28.72,NA,3459.37,1758.03,1262.06,1.801,0.413,2.475,0.895,3.915,2.062,90.077,30847.637,1.14310412,0.9511956522,0,98.5227272666667,"Stream",201.559997558594,19.0799999237061,1.69000005722046,19.5079999923706,8.55800034999847,20.7400000890096
10994,488,82.6238,"FW08CA020","18-Sep-08","WMT",-123.5279597,41.31852852,22.9,2.608,3872.87,1385.35,111.426,3.202,1.48,7.341,1.896,50.7,2.037,34.836,29282.053,0.400331658,3.582,1.8181818,10.3030303,"Stream",1346.36999511719,21.8799991607666,6.90000009536743,20.453999710083,3.43799996376038,260.88666788737
10995,159,40.875,"FW08CA031","15-Sep-08","XER",-123.0111924,38.81627171,52.6,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987,12.5,14.5075757666667,"Stream",1099.7099609375,23.4200000762939,7.80999994277954,21.3659999847412,0.507999980449677,249.129994710286
10996,136,24.3725,"FW08CA035","10-Sep-08","XER",-121.6352071,38.80836238,36.35,0.452,2821.99,1221.1,3.766,19.12,1.869,6.764,3.051,62.418,0.91,24.201,15780.901,0.763584796,1.637,11.8181818,24.8484848333333,"Stream",499.910003662109,23.4599990844727,9.27999973297119,23.0419994354248,0.0899999976158142,109.086664835612
10997,594,102.2213,"FW08CA040","20-Sep-08","WMT",-123.5267321,41.53926058,34.67,3.68,3872.87,1398.15,196.008,3.447,1.495,7.949,1.897,48.055,2.204,36.494,27045.166,0.395717386,2.445,1.3636364,15.9090909,"Stream",1461.76000976562,21.8999996185303,5.65000009536743,19.893999671936,3.44400000572205,293.336659749349
10998,269,41.8088,"FW08CA056","19-Sep-08","WMT",-123.9355648,41.45639606,25.83,1.9,3872.87,1306.88,7.916,2.876,1.522,5.57,2.068,56.997,1.55,31.057,38656.88,0.429821472,2.905,0.4545455,21.6666666666667,"Stream",2023.38000488281,16.6800003051758,6.5,16.8769996643066,6.96000018119812,313.356658935547
10999,2343,173.2,"FW08CA061","12-Sep-08","XER",-121.1287613,37.59637606,18.2,3.352,3970.13,1467.52,9.827,41.551,1.065,6.375,3.486,37.12,0.556,40.98,4915.082,0.935881763,0.644,6.8181818,17.6515151666667,"Stream",316.489990234375,23.8899993896484,9.39999961853027,23.9989990234375,0.264000010490417,70.8500010172526
11000,69,3.5038,"FW08CA063","16-Sep-08","WMT",-123.771013,40.31843895,30.92,0.768,2311.24,904.746,43.378,2.925,1.304,0.26,2.995,53.661,0.063,42.439,5787.757,0.552678861,2.118,2.2727273,14.5833333333333,"Stream",1368.25,20.7399997711182,6.55999994277954,18.2909999847412,3.16199994087219,305.333338419596
11001,114,11.4575,"FW08CA067","9-Sep-08","XER",-121.3577452,38.57234221,59.28,3.776,3157.34,1294.41,8.361,50.19,2.226,0.045,4.737,66.05,0.361,25.925,4977.109,0.827005947,1.762,9.5454545,14.9242424333333,"Stream",520.150024414062,23.5100002288818,9.52999973297119,23.0139999389648,0.303999996185303,111.050003051758
11002,1183,166.5375,"FW08CA068","21-Sep-08","WMT",-122.8997348,41.84331069,53.1,NA,3872.87,1442.26,503.116,3.819,1.473,8.859,1.633,44.979,2.649,37.913,22427.702,0.387055039,1.673,19.3181818,21.3636363666667,"Stream",570.669982910156,19.8500003814697,4.09000015258789,19.2249996185303,8.15000033378601,116.176667531331
11003,422,33.5975,"FW08OR001","14-Sep-08","WMT",-124.0956116,43.64952824,25.37,0.416,302.641,118.559,18.147,3.778,1.27,0,4.768,58.783,0.681,35.768,6.208,0.799227059,0.1382666667,0,77.8030303,"Stream",1921.43005371094,16.1100006103516,6.57000017166138,13.906000328064,32.2120001792908,309.370000203451
11004,866,293.6513,"FW08OR002","22-Jul-08","XER",-119.446251,45.36811658,19.6,7.68,1466.35,991.9,720.173,0.374,0.755,2.243,0.765,0.454,0.881,95.658,79.316,0.694449335,0.2752413793,2,57.8333333333333,"Stream",382.809997558594,16.1900005340576,2.78999996185303,16.0680000305176,19.8779998779297,18.3800005118052
11005,1314,53.9375,"FW08OR004","23-Jul-08","WMT",-119.6383494,44.62318544,38.3,1.328,1643.22,1334.94,638.872,0,0.224,0.504,0.388,29.525,0,69.582,19.27,0.729655842,0.1081333333,3.6363636,50.4545454666667,"Stream",276.059997558594,18.8400001525879,3.60999989509583,18.1909996032715,11.0580001354218,22.8266665140788
11013,211,88.8413,"FW08OR005","21-Jul-08","WMT",-117.4241613,44.89842988,45.78,0.568,1461.67,1255.95,1015.25,0.587,1.232,0,0,25.939,0.888,73.173,23.822,0.727630723,0.0862,0,42.9924242333333,"Stream",680.169982910156,15.2299995422363,0.930000007152557,15.2699996948242,26.5439993858337,125.123334248861
11014,199,28.965,"FW08OR006","15-Sep-08","WMT",-123.5025807,43.87510264,41.38,0.584,585.847,292.419,146.792,2.048,1.188,4.754,5.652,59.382,1.623,28.304,325.168,0.802240932,0.5127,0,62.9545454666667,"Stream",1397.53002929688,17.3400001525879,5.40999984741211,16.6170000076294,16.7500001907349,223.146657307943
11016,44,12.7788,"FW08OR008","17-Jul-08","WMT",-116.8564475,45.11449914,45.12,0.062,1706.44,1616.36,1471.95,0,3.087,0,3.545,80.73,0,15.725,4.316,0.82082641,0.1239333333,5.4545455,63.5227272666667,"Stream",1101.96997070312,12.1999998092651,0.720000028610229,14.15,25.3800001144409,212.610000610352
11017,119,14.8975,"FW08OR009","9-Jul-08","WMT",-123.4774717,45.30045298,45.77,0.8046,943.821,694.45,441.821,0,0.191,0,0.635,79.665,0,19.701,6.377,1.085528016,0.262,0,64.2803030333333,"Stream",2408.56005859375,14.5100002288818,4.8600001335144,14.3819997787476,29.1779996395111,342.283340454102
11018,124,27.7413,"FW08OR010","3-Aug-08","WMT",-122.4115116,43.09695281,61.02,0.1573,2029.78,1674.6,1516.31,0,0.689,0,0,88.071,0,11.58,2.837,0.52328992,0.1728666667,19.0909091,61.25,"Stream",1602.69995117188,12.8800001144409,-0.00999999977648258,12.2139998435974,24.8940002441406,276.11333211263
11020,300,72.4588,"FW08OR015","19-Aug-08","WMT",-123.1579741,42.41324015,17.33,1.9307,2890.01,1045.54,300.873,29.98,1.776,6.905,4.025,61.408,0.391,26.068,5637.641,0.460658146,1.415,11.3636364,68.4848485,"Stream",713.239990234375,20.25,5.3600001335144,18.921000289917,8.5560000360012,118.456666310628
11021,95,13.1913,"FW08OR016","12-Aug-08","WMT",-122.8137154,44.49070934,40.03,0.856,1767.33,756.185,120.826,7.601,1.734,2.433,1.249,72.141,0.015,22.785,1643.865,0.801049465,1.243518519,0,65.625,"Stream",1136.30004882812,17,5.57000017166138,16.6760000228882,24.5639995574951,170.669998168945
11025,236,11.555,"FW08OR019","7-Jul-08","WMT",-123.8363474,44.37292269,28.22,1.072,1245.39,323.279,13.377,1.498,1.411,1.778,5.771,79.418,0.786,12.159,838.578,0.827937669,2.009090909,0,59.9206349333333,"Stream",2045.26000976562,16.6399993896484,6.28999996185303,14.7480001449585,36.8559998512268,333.973332722982
11026,77,36.9706,"FW08OR022","1-Aug-08","WMT",-123.2115221,43.31057123,41.07,0.5,2771.86,1072.73,171.884,1.162,1.454,0.785,0.536,83.888,0.019,13.978,3225.215,0.624499277,2.481521739,2.2727273,42.9545454666667,"Stream",997.940002441406,18.3299999237061,5.84000015258789,17.7420001983643,9.6899998664856,161.336664835612
11027,91,16.0206,"FW08OR027","30-Sep-08","WMT",-123.1063463,44.06547124,44.52,1.344,2652.73,869.404,117.738,14.669,1.523,3.536,2.039,75.803,0.525,15.811,5193.011,0.750812361,2.147,5.6818182,61.8939394,"Stream",1136.48999023438,17.2600002288818,5.42999982833862,16.4719997406006,13.6760003805161,152.00333404541
11031,289,9.4638,"FW08OR035","8-Jul-08","WMT",-123.9729588,44.80638327,26.57,0.88,1086.96,344.519,6.351,3.813,1.702,1.284,5.966,57.016,1.158,34.248,702.524,0.850364651,1.144,2.2727273,65.9469697,"Stream",1850.61999511719,15.460000038147,6.84999990463257,13.8169998168945,40.8240003585815,294.806666056315
11035,210,27.5025,"FW08OR043","11-Sep-08","WMT",-122.7664621,43.61498688,66.25,0.1088,1499.83,926.922,448.393,0,0.963,0,0,89.123,0,10.877,4.407,0.74874413,0.1774657534,0,31.25,"Stream",1301.10998535156,16.6299991607666,4.57999992370605,15.403999710083,18.6339999198914,214.243336995443
11036,103,8.93,"FW08OR044","13-Aug-08","WMT",-122.5140529,44.75269237,28.88,1.0085,3185,1068.95,227.695,2.57,1.193,0.485,1.068,79.671,0.021,15.8,1356.907,0.919701269,1.066666667,0,55.9469697,"Stream",1694.83996582031,16.2999992370605,5.30999994277954,15.51399974823,41.2480004310608,260.966672261556
11037,141,17.2244,"FW08OR047","21-Aug-08","WMT",-124.0083463,42.07214556,64.02,0.464,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.1987,0,83.3712121333333,"Stream",2949.84008789062,17.75,6.23999977111816,17.0489999771118,19.3220001220703,398.729995727539
11039,34,17.695,"FW08OR050","13-Sep-08","WMT",-122.8297464,43.1011809,85.22,0.2027,1313.17,966.901,589.11,0,2.333,0,0,84.892,0,15.108,8.15,0.607723981,0.1164444444,0,38.1547619,"Stream",1144.64001464844,17.9599990844727,4.05999994277954,17.576000213623,20.8380000114441,153.166669209798
11040,44,8.3375,"FW08OR045","19-Jul-08","WMT",-118.4770479,44.90149003,78.57,0.896,2624.11,1886.47,1387.38,0,1.239,0,1.145,78.384,0,20.127,212.931,0.657132013,0.513,0,42.8645833333333,"Stream",643.030029296875,12.3400001525879,-0.540000021457672,13.0710001945496,34.2059999465942,92.2600021362305
