"SITE_ID","UID","DATE_COL","AGGR_ECO9_2015","LAT_DD83","LON_DD83","TP","TN","DEPTH","MMI","CHLA","aqveg","Rveg","NDEP","AG_PCT","URBAN_PCT","FOREST_PCT","WETLAND_PCT","ROADDEN","POPDEN","ELEVMAX","ELEVMEAN","ELEVMIN","SHRUB_GRASS_PCT","WS_AREA","Type","PrecipNorm","TMAX","TMIN","Tsummer","PrecipSummer","PrecipWinter"
"NLA12_AZ-130",6195,"5/10/2012","XER",33.84530018,-111.6185016,57,278,12.7,38.8,8.586666667,0,11.1097972666667,1.55627,0.145443,1.945983,40.295963,0.345113,1.16589,76.295148423,3844.77,1618.52,512.11,56.808337,15051.69,"Lake",365.5,29.1800003051758,13.7299995422363,30.0329998016357,21.2040001869202,20.0766671498617
"NLA12_AZ-140",7290,"7/19/2012","XER",32.8056793,-109.8626777,38,571,4.1,56.3,6.453333333,6.25,26.9716190833333,1.27274,1.134931,0,0,1.008827,0.134363,20.6462865843,1195.79,1071.22,1006.04,95.334174,1.4274,"Lake",279.420013427734,26.5499992370605,9.39000034332275,26.7100006103516,28.0860002994537,22.490000406901
"NLA12_AZ-143",8320,"8/30/2012","WMT",35.11670652,-112.0134231,75,1201,4,30.9,13.51111111,55,25.1597548833333,1.63188,0,0,93.594907,0,1.10658,7.38379990101,2172.87,2036.81,1997.64,4.975965,6.9273,"Lake",613.02001953125,18.4699993133545,1.5,18.7299999237061,44.3579999446869,32.5599997838338
"NLA12_AZ-145",8016,"8/14/2012","WMT",33.8293043,-109.090421,244,1775,3,28.7,39.2,53,35.1819826,2.349849,0,2.179805,86.893101,1.147979,1.64561,5.1006486063,3072.91,2604.3,2402.68,9.084133,92.9808,"Lake",540.780029296875,16.6700000762939,-1.19000005722046,16.2700000762939,45.8580005168915,27.8033332824707
"NLA12_AZ-157",8251,"8/17/2012","WMT",34.03125525,-109.4431103,882,3888,1.6,37.8,241.2,0,22.98162115,2.320919,0,0,43.865031,0,5.181,5.1006486063,2524.62,2520.16,2519.08,33.742332,0.2934,"Lake",531.640014648438,15.3500003814697,-0.839999973773956,15.8639999389648,39.0539998531342,22.8966670036316
"NLA12_CA-101",7020,"7/9/2012","XER",38.07832575,-122.7433592,25.3,488,12,43.5,14,8,19.9301146333333,2.232399,0.062734,2.305718,32.053236,2.194726,1.27874,58.59334118001,575.04,191.3480078,43.47,61.225533,93.2508,"Lake",971.559997558594,20.6200008392334,8.01000022888184,17.1529998779297,1.34599999189377,67.940002600352
"NLA12_CA-102",8264,"8/28/2012","WMT",33.23504244,-116.7444419,23.9,1390,2.2,NA,99,0,18.6991542333333,1.36565,0.045514,3.093059,16.058833,0.280695,1.12728,16.94837397201,1989.38,1187.07,816.81,79.284406,531.9297,"Lake",510.320007324219,24.2800006866455,5.78000020980835,20.703999710083,5.71200013160706,36.8566665649414
"NLA12_CA-103",7916,"8/13/2012","WMT",39.11326334,-120.4389061,4.1,322,19.8,NA,0.2,0,11.5825504,3.13771,0,0,67.104295,0.027214,1.1743,3.0290710047,2739.3,1965.96,1543.4,28.663577,122.364,"Lake",1659.97998046875,16.3799991607666,3.58999991416931,16.8130001068115,13.7360003113747,100.179998397827
"NLA12_CA-104",8483,"9/11/2012","WMT",37.78873902,-119.0738863,4.9,435,29.9,NA,2.2,9.75,18.5861191333333,1.36352,0,2.783172,32.815534,0.090615,2.27614,9.59414916681,2973.84,2508.39,2323.11,47.326861,6.9525,"Lake",620.75,14.3000001907349,-2.64000010490417,13.631000328064,8.05200017094612,41.259999593099
"NLA12_CA-105",7126,"7/11/2012","XER",38.50847142,-121.5353649,688,551,4.3,NA,12,0,8.15951603333333,1.770779,0,72.714487,0,1.125176,5.10155,18565.5402652906,6.46,3.914230042,2.88,0,0.6399,"Lake",476.570007324219,23.5100002288818,9.21000003814697,22.2570003509521,0.103999996185303,31.8099989891052
"NLA12_CA-106",6250,"5/22/2012","XER",33.07900474,-115.512784,591,3830,2.7,NA,176,0,14.39617635,0.189462,0.654546,4.145455,0,5.963637,2.01721,81.39768513201,-49.57,-52.65370117,-54.56,6.618182,1.2375,"Lake",67.0400009155273,31.4599990844727,14.4700002670288,31.5880004882812,6.04000000953674,3.9000000320375
"NLA12_CA-107",8466,"9/10/2012","WMT",38.47629345,-119.9996916,10.2,149,8.3,60.2,3.8,0,9.75461081666667,3.26651,0,3.921304,53.89764,0.033804,1.34051,2.19350397084,2728.08,2394.7,2223.42,32.587384,13.3119,"Lake",1516.42004394531,13.1199998855591,-0.509999990463257,14.5409999847412,10.7780001163483,76.006666024526
"NLA12_CA-108",7796,"8/8/2012","XER",37.14922318,-119.5111573,4.8,156,14,43.4,9,8.5,17.50464425,2.21794,0,0.332996,56.064863,0.223289,0.506393,11.45290729011,4213.83,2339.69,290.81,28.759246,3784.374,"Lake",632.489990234375,25.0200004577637,8.97000026702881,24.8310001373291,0.148000001907349,57.4066683451335
"NLA12_CA-111",7341,"7/19/2012","XER",39.013583,-121.0410833,7.2,64.3,5.1,37.4,3.2,45.5,15.7297979833333,2.89137,0,5.389425,81.16166,0.09016,3.26863,333.43271743002,1771.44,946.5889844,483.54,12.210684,352.3734,"Lake",1019.73999023438,21.8500003814697,8.19999980926514,22.2980003356934,3.45399997234344,69.1266655127207
"NLA12_CA-112",7424,"7/25/2012","XER",39.37366934,-121.2786137,7.5,167,6.3,59.5,3.4,84.5,14.19260985,2.954159,0,2.368683,78.883395,0,2.58525,82.81156067301,1126.39,718.6639844,420.49,18.434176,129.9456,"Lake",1125.77001953125,22.6200008392334,8.35000038146973,22.3470001220703,3.74400005340576,73.3533323605855
"NLA12_CA-116",6559,"6/12/2012","WMT",41.22806098,-122.3816476,62.6,62.6,34.5,66.5,1.4,4,23.0668590666667,1.843619,0,0,52.902278,0,0.023378,15.28974437601,2009.54,1763.25,1656.73,25.863336,1.2249,"Lake",1676.91003417969,13.6700000762939,2.23000001907349,15.9430004119873,14.36000020504,108.383332570394
"NLA12_CA-119",7740,"8/7/2012","XER",37.95383641,-120.4968436,4.1,114,33,44.5,8,0,14.54859585,2.721509,0.046019,1.350307,58.37089,0.276807,1.27024,47.85705563301,3518.45,1725.9,154.99,33.054132,2342.934,"Lake",672.890014648438,23.7099990844727,9.09000015258789,23.7090000152588,3.53399999141693,36.6466674407323
"NLA12_CA-121",6659,"6/19/2012","XER",36.08284307,-118.9092314,12.3,334,14.3,39.6,2.8,15.25,14.0205754333333,1.36554,0.140892,0.925595,52.502527,0.310551,0.888706,30.39896903901,3116.79,1215.27,197.71,45.208199,1010.5605,"Lake",291.839996337891,25.6599998474121,10.4499998092651,25.0970001220703,0,20.8766667172313
"NLA12_CA-123",7989,"8/15/2012","WMT",38.76397086,-119.9656214,9.7,145,5.7,52.6,2,3.5,10.9943328166667,2.628249,0,0,57.195964,0,0.28798,14.53654938411,2889.2,2593.3,2438.73,35.156664,1.6947,"Lake",1214.02001953125,11.3800001144409,-0.819999992847443,13.6079998016357,10.8299997806549,62.3066685994466
"NLA12_CA-128",7563,"7/31/2012","WMT",39.72615676,-122.8416693,29.5,340,3.5,45.2,5,69.25,7.2351471,1.391569,0,9.956236,54.157549,1.641138,2.21815,4.46532146931,1999.65,1881.56,1802.98,34.245077,1.6452,"Lake",1287.01000976562,13.1099996566772,3.73000001907349,17.3129995346069,2.95799999237061,98.7566684087117
"NLA12_CA-132",6596,"6/13/2012","WMT",40.50757762,-122.6943291,11.6,137,9.6,57.8,4,6.25,10.5163540166667,1.796869,0,0.398766,73.780417,0,0.222861,40.134226041,1803.02,1055.82,608.46,25.008732,30.9204,"Lake",1174.43005371094,20.4099998474121,5.78000020980835,20.6640005111694,5.27200012207031,87.0933310190837
"NLA12_CA-135",7988,"8/15/2012","WMT",38.69849847,-120.0450767,5.6,78,16,57.8,3.8,0.5,9.259512,2.8371,0,1.693872,38.519473,0.184786,0.792381,10.6664853165,3152.57,2608.77,2371.95,40.496122,32.1453,"Lake",1196.43005371094,11.8999996185303,-0.469999998807907,12.8249996185303,15.0380001544952,61.7966644763947
"NLA12_CA-138",8424,"9/6/2012","WMT",40.51311798,-121.1651745,10.5,333,1.3,56.2,2.6,2,21.8489498166667,1.12597,0,0,92.403342,0,1.04099,2.8558265736,2231.94,2077.24,1976.2,3.497183,4.6323,"Lake",1013.55999755859,13.7700004577637,-0.540000021457672,14.7239999771118,7.68199987411499,63.453332901001
"NLA12_CA-141",8148,"8/22/2012","XER",39.09599481,-122.9319835,33.7,778,3.7,50,21,87.5,17.575736,0.618933,0,1.587302,1.719577,1.984127,3.1819,111.243696486,621.9,498.8530078,454.99,94.047619,0.6804,"Lake",893.489990234375,21.8400001525879,4.44999980926514,19.4960000991821,1.182000041008,64.3233315149943
"NLA12_CA-143",6160,"5/2/2012","XER",37.56448938,-121.9971818,26.8,339,8.3,45.8,2.7,18.25,21.925485,1.04811,0,58.181818,0,0,14.0139,21085.885079362,19.02,14.47959961,12.78,0,0.0495,"Lake",390.170013427734,20.9200000762939,10.2200002670288,18.0790000915527,0.564000016450882,20.4600001176198
"NLA12_CA-145",7529,"7/30/2012","XER",37.24681552,-121.8722039,33.6,428,3.5,42.4,17,55.5,7.1397368,0.86207,0,67.924529,0,0,7.81512,10050.6635962192,62.52,60.17919922,58.78,0,0.0954,"Lake",423.299987792969,21.9899997711182,9.11999988555908,19.1700000762939,1.17999996542931,20.4099992116292
"NLA12_CA-154",7229,"7/17/2012","XER",40.63158462,-120.00287,166,282,3,28.3,3.3,8.5,14.0138590833333,0.371686,0.146961,0,1.621655,0.12541,0.265054,0.42645998343,2426.05,1691.18,1317.41,97.998521,300.6927,"Lake",247.75,17.7099990844727,1.12999999523163,18.6290000915527,2.61200003623962,18.4333329200745
"NLA12_CA-156",8265,"8/27/2012","XER",34.49328953,-117.2618539,53,443,2.7,NA,31,0,4.17301941666667,0.426954,0,78.135746,1.158371,0,9.19238,9670.06405808118,904.02,865.4579688,843.39,5.574661,4.9725,"Lake",154.339996337891,25.5300006866455,8.02999973297119,25.6790004730225,6.85600004196167,5.83333337306976
"NLA12_CA-157",6642,"6/18/2012","XER",37.3732653,-120.4335059,4.1,69.8,7.2,42.7,3.4,3.5,17.77599815,0.628489,0.041501,2.315737,0,1.568725,0.854012,51.06242725701,176,102.46,76.3,80.934595,10.8432,"Lake",338.269989013672,23.7800006866455,9.67000007629395,24.1869998931885,1.53400004506111,16.5233332117399
"NLA12_CA-166",7423,"7/24/2012","WMT",39.76106147,-120.7127085,4.1,162,6.7,55.7,0.5,13,17.1229403166667,2.226579,0,0,64.791529,0,0.317813,29.252642055,2257.2,2022.02,1881.82,28.259431,1.3599,"Lake",1431.06994628906,14.3900003433228,1.45000004768372,16.2840002059937,11.7879995822906,80.0266687075297
"NLA12_CA-167",7263,"7/18/2012","WMT",39.30959639,-120.578516,4.1,112,8.3,78.5,1.3,5,16.9573513,3.15612,0,0,76.737338,0,3.56279,17.9402650323,2022.32,1852.11,1797.23,18.021201,1.5282,"Lake",1886.9599609375,14.75,1.73000001907349,16.5160003662109,17.7400000333786,115.093331654867
"NLA12_CA-168",6235,"5/21/2012","XER",33.8011914,-117.8101552,434,2380,24.1,36.4,111,5,15.9391374,1.06436,0.014479,11.654429,3.260924,0.749502,2.23681,688.89070464006,1733.08,563.7869922,50.46,83.595551,236.1969,"Lake",357.209991455078,24.8199996948242,12.0100002288818,22.6830001831055,1.61199998855591,20.3099997838338
"NLA12_CA-172",6279,"5/23/2012","XER",33.15989079,-117.0432688,14.8,265,12.8,47.3,0.8,50.25,18.4285714333333,1.090929,0.526094,3.524832,0.052609,0.452441,1.97494,713.61993952002,632.72,462.5989844,297.68,92.487373,8.5536,"Lake",384.470001220703,24.7099990844727,9.64999961853027,21.375,0.586000025272369,28.9366664886475
"NLA12_CA-174",6558,"6/11/2012","XER",37.91390879,-121.6012966,77.7,731,6,26.5,6.7,4.5,8.8425467,1.03436,0,28.571428,0,0,3.66034,6959.79507529059,1.43,0.213333,0,0,0.0189,"Lake",350.519989013672,22.7199993133545,9.47000026702881,22.0170001983643,0.314000010490417,18.6100004514058
"NLA12_CA-180",7064,"7/10/2012","XER",38.72817607,-121.131213,4.1,127,29.1,NA,3.4,4,14.8654260833333,2.8684,0.000559,2.545003,68.253199,0.239093,1.72852,159.96892194699,3152.57,1344.03,113.43,26.142781,4825.3734,"Lake",646.109985351562,23.6100006103516,9.63000011444092,23.1319999694824,0.846000003814697,38.1299996376038
"NLA12_CA-181",8333,"8/29/2012","XER",37.17995179,-121.6910013,39.7,319,5.8,56.8,6,76.25,15.8886921666667,0.91646,22.264151,9.811321,0,13.207547,6.06551,194.71596101802,101.53,96.01929688,94.22,13.207547,0.2385,"Lake",511.369995117188,22.9300003051758,8.90999984741211,19.5549999237061,1.18000002801418,33.1999990145365
"NLA12_CA-188",7712,"8/6/2012","XER",37.77693239,-122.1186618,25.6,593,29,49.6,13,7.5,9.95106586666667,1.784989,0,22.662726,50.039669,1.355624,3.11214,1592.53828038981,616.98,247.9709961,135.96,23.18014,78.2739,"Lake",671.530029296875,20.0100002288818,8.8100004196167,16.8610000610352,1.41799998283386,40.5533326466878
"NLA12_CA-190",7208,"7/16/2012","XER",38.06047879,-121.0282226,123,1320,2,46.4,33,1.5,22.4345728,1.11493,11.787038,0.447437,0,0.271174,0.260172,46.85913248601,95.6,64.68569824,38.36,85.18937,19.9134,"Lake",427.149993896484,23.8999996185303,9.10000038146973,22.8999996185303,0.877999985218048,23.8466665744781
"NLA12_CA-200",7366,"7/23/2012","WMT",39.36848919,-120.322472,4.1,152,10.2,59.5,1.4,20.25,12.5450383,2.47511,0,0,30.289331,0,0.024478,4.99621761951,2637.13,2395.65,2314.24,51.808318,0.9954,"Lake",1497.64001464844,11.1800003051758,-0.46000000834465,13.1279998779297,13.681999874115,87.8000027338664
"NLA12_CA-206",8076,"8/20/2012","WMT",40.76439588,-122.2541896,5.6,71.1,45,NA,1.6,0,9.13580246666667,1.02188,4.606037,1.13429,54.832486,0.559526,1.27052,12.97079682951,4303.87,1367.42,311.23,35.636762,15523.0191,"Lake",1648.21997070312,23.1399993896484,9.44999980926514,24.1680000305176,7.02999992370605,101.386668523153
"NLA12_CA-208",8149,"8/21/2012","WMT",41.99178315,-121.8782454,29.9,2610,1.5,41.5,9,69.5,16.28666395,0.60224,9.479277,0.701382,68.583067,0.246192,2.43292,48.007018644,2008.2,1470.62,1245.55,16.397449,50.814,"Lake",323.369995117188,15.7399997711182,0.230000004172325,15.2200002670288,8.20599987506866,28.700000445048
"NLA12_CA-212",8398,"9/5/2012","WMT",39.96955481,-121.2222947,8.3,175,14.8,69.8,2,0,12.4880205,2.101099,0,0,57.739791,0,0.829105,7.1948886204,2126,1952.62,1840.35,35.929091,2.8431,"Lake",2187.68994140625,14.6400003433228,3.38000011444092,16.0800001144409,11.6699999846518,154.996664683024
"NLA12_CA-223",8779,"9/26/2012","WMT",37.60310878,-119.0030315,4.1,66.8,25.8,63.7,0.8,72.5,8.12328043333333,2.86998,0,0,45.078143,0,0.80005,59.239287276,3585.6,3047.04,2727.33,25.359003,19.8675,"Lake",1161.31994628906,11.5799999237061,-3.94000005722046,11.4200000762939,2.23000000417233,64.5966682434082
"NLA12_CO-101",7173,"7/13/2012","SPL",38.30009665,-102.7612671,76,3058,2.2,NA,12.667,18.5,34.7099739666667,2.24317,22.489944,2.583011,0,5.339538,0.718526,1.12621053168,1220.56,1198.14,1181.9,38.327155,22.8222,"Lake",377.450012207031,20.3299999237061,2.9300000667572,22.9699996948242,24.6040005683899,14
"NLA12_CO-102",6795,"6/26/2012","WMT",38.99724122,-108.0511795,29,135,14,62.9,0.92,10.25,16.7538433833333,2.50652,0,0,77.00449,4.249519,0.22533,21.85736331831,3319.05,3169.17,3064.11,12.764592,5.6124,"Lake",1097.94995117188,8.43000030517578,-4.98000001907349,11.8290000915527,39.8139997720718,91.0666669209798
"NLA12_CO-103",8505,"9/12/2012","SPL",40.43632395,-105.0336532,17,331,5,NA,4.768,10.75,11.6549890833333,1.666659,36.162029,38.780062,0.220195,3.70185,4.5867,4194.90329145966,1711.01,1540.84,1511.49,7.841231,62.9442,"Lake",381.799987792969,17.75,1.36000001430511,20.2670001983643,27.2960005283356,16.5233330726624
"NLA12_CO-104",8596,"9/14/2012","SPL",40.22358076,-104.9472807,435,6200,6.7,NA,218,0.5,14.72632015,1.464249,77.265106,12.285506,0.575709,3.03784,3.05361,319.83526993002,1592.37,1526.6,1475.77,1.523112,32.2038,"Lake",362.690002441406,18.25,1.26999998092651,20.678999710083,29.9699995994568,19.8300001621246
"NLA12_CO-105",8325,"8/30/2012","WMT",37.4167824,-108.4056506,114,1079,4.4,NA,101.3,2.5,24.7296022,1.565919,1.31834,0.445909,36.991082,1.725475,1.89996,126.25320912399,2301.91,2231.26,2206,51.221403,4.6422,"Lake",493.589996337891,15.6499996185303,-0.0900000035762787,18.0230003356934,19.566000187397,36.7233333587646
"NLA12_CO-106",7325,"7/20/2012","SPL",40.33707955,-105.1266943,15,235,7.2,39.2,2.2,21.25,23.2815833666667,1.497799,40.408583,1.985095,0.012849,2.845946,2.60492,421.98704998008,1821.62,1609.19,1565.3,42.579982,14.0094,"Lake",401.059997558594,17.7999992370605,1.52999997138977,20.06399974823,30.675999546051,20.7433333396912
"NLA12_CO-107",8297,"8/29/2012","WMT",37.8246388,-107.885134,16,104,16.4,NA,1.224,18,22.653293,2.50615,0,0.449553,51.358876,1.92848,0.846731,10.2291137052,4228.07,3421.75,2959.36,14.181354,35.235,"Lake",788.890014648438,10.6199998855591,-5.3600001335144,11.1550001144409,41.4839994907379,66.6233329772949
"NLA12_CO-108",6976,"7/5/2012","WMT",38.7911491,-105.1063606,25,71,4.9,NA,0.371,27.75,13.0492703,3.05937,0,0,9.88906,0.161634,0.312586,41.10080771901,4093.18,3621.89,3139.48,68.643009,12.2499,"Lake",569.989990234375,8.55000019073486,-4.34999990463257,12.2429999351501,54.302000617981,14.0000002384186
"NLA12_CO-109",8184,"8/23/2012","WMT",40.05558648,-105.7470802,16,215,12.5,57.9,5.993,3.5,21.8756687,3.10678,0,0,74.23358,3.742581,1.37146,17.5982568528,3881.36,3219.56,3039.34,6.146073,18.3483,"Lake",1013.42999267578,8.0600004196167,-4.55000019073486,11.143000125885,92.6859977722168,58.6400006612142
"NLA12_CO-110",6342,"5/29/2012","SPL",39.99496234,-105.112227,43,824,4,24.4,15.62,2.5,19.4883157,1.52107,6.403941,59.211823,0,12.807882,9.96955,8747.82084881952,1640.12,1627.86,1622.86,0.295567,0.9135,"Lake",407.070007324219,18.4300003051758,2.09999990463257,20.8259998321533,30.4180003166199,30.2333329518636
"NLA12_CO-111",8477,"9/11/2012","SPL",40.0798358,-105.2171741,26,140,6,36.7,3.513333333,8.5,12.2768043666667,1.734439,14.104302,8.167919,0.49624,4.922328,2.0976,377.65421963997,2060.32,1668.45,1570.32,61.690913,29.1996,"Lake",403.160003662109,18.3999996185303,1.72000002861023,20.714999961853,32.6819996833801,24.0999992688497
